apno,aptype,issued,stname,city,state,zip,applicant,licno,lictype,fees,value,plans,sbl,landuse,inspector,expdate,descofwork,location_1,latitude,longitude,council_district,police_district,census,census_block_group,census_block,neighborhood
REP19-9486351,REPAIR,8/20/19,327 CRESTWOOD,BUFFALO,NY,14216,JAMES PERRY COATE,LTC17-10039208,LIGHT COMMERCIAL CONTRACTOR,75,2500,0,7.849E+14,220,ANDREW BLERSCH,2/20/20,TEAR OFF / SHEATH / REROOF THE FRONT PORCH ROOF AS PER CONTRACT FOR A 2 - FAMILY DWELLING.,"(42.9532555695728, -78.86030156227233)",42.95325557,-78.86030156,DELAWARE,District D,49,1,1004,UNKNOWN
SWIM19-9485898,SWIM POOL,8/19/19,341 NORWALK,BUFFALO,NY,14216,MS CHRISTINE SALAMONE,,,75,500,0,7.85E+14,210,ANDREW BLERSCH,2/19/20,INSTALLATION OF AN ABOVE GROUND SWIMMING POOL&nbsp;&nbsp;&nbsp;&nbsp; SUBMITTED THROUGH IDT,"(42.95333872723409, -78.85429233887896)",42.95333873,-78.85429234,DELAWARE,District D,49,1,1000,UNKNOWN
REP19-9486328,REPAIR,8/19/19,47 DULUTH,BUFFALO,NY,14216,ROMOLA CLEMENTI,,,75,600,0,7.842E+14,210,ANDREW BLERSCH,2/19/20,ROOF LIKE IN KIND OVER AN EXISTING SINGLE LAYER OF ROOFING&nbsp;ON THE GARAGE AS PER SCANNED OWNER AFFIDAVIT.,"(42.95723906665957, -78.85082437578582)",42.95723907,-78.85082438,DELAWARE,District D,51,1,1005,UNKNOWN
REP19-9486320,REPAIR,8/19/19,61 WELLINGTON,BUFFALO,NY,14216,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,125,19150,0,7.874E+14,220,ANDREW BLERSCH,2/19/20,"tear-off, re-roof, new plywood","(42.946107275553366, -78.85142042737439)",42.94610728,-78.85142043,DELAWARE,District D,48,1,1004,UNKNOWN
REP19-9486291,REPAIR,8/19/19,741 TACOMA,BUFFALO,NY,14216,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,120,19000,0,7.867E+14,220,ANDREW BLERSCH,2/19/20,"tear-off, re-roof, new plywood","(42.94961459047294, -78.8457469826831)",42.94961459,-78.84574698,DELAWARE,District D,48,2,2000,UNKNOWN
REP19-9486276,REPAIR,8/19/19,1010 PARKSIDE,BUFFALO,NY,14216,AERIAL ROOFING & EXTERIOR INC.,LTC13-10025871,LIGHT COMMERCIAL CONTRACTOR,95,13500,0,7.852E+14,210,ANDREW BLERSCH,2/19/20,Tear-off all layers of existing roofing. Install sheathing to entire main house. Install six feet of Ice & Water shield and complete Certainteed Lifetime roofing system with accessories to entire dwelling. 130 mph wind warranty.,"(42.95249265722701, -78.84075978545921)",42.95249266,-78.84075979,UNIVERSITY,District D,45,3,3004,UNKNOWN
REP19-9486238,REPAIR,8/16/19,48 CAMPBELL,BUFFALO,NY,14216,SIKORSKI DAWN M,,,75,762,0,7.842E+14,210,ANDREW BLERSCH,2/16/20,REMOVE EXISTING RUBBER MEMBRANE AND REPLACE IN KIND ( WORK BY OWNER AND FAMILY MEMBERS UNCOMPENSATED),"(42.95727867051452, -78.85209174610675)",42.95727867,-78.85209175,DELAWARE,District D,51,1,1007,UNKNOWN
REP19-9486226,REPAIR,8/16/19,177 STERLING,BUFFALO,NY,14216,HOME IMPROVEMENT CENTER,HIC11-517471,HOME IMPROVEMENT CONTRACTOR,95,13500,0,7.866E+14,220,ANDREW BLERSCH,2/16/20,New roof.  Remove one layer and install new roof.,"(42.94955480665707, -78.8529860104859)",42.94955481,-78.85298601,DELAWARE,District D,48,1,1002,UNKNOWN
REP19-9486224,REPAIR,8/16/19,730 PARKSIDE,BUFFALO,NY,14216,HOME HANDYMAN SERVICE,LTC11-548385,LIGHT COMMERCIAL CONTRACTOR,75,8500,0,7.866E+14,210,ANDREW BLERSCH,2/16/20,"Remove cedar shake siding, install sheathing as needed on bump outs. Install 1/2 tivac. Install cedar vinyl siding","(42.94956007640703, -78.84933639922303)",42.94956008,-78.8493364,DELAWARE,District D,48,1,1000,UNKNOWN
REP19-9486204,REPAIR,8/16/19,403 PARKER,BUFFALO,NY,14216,BILAL ABDULLAH,,,75,500,0,7.86E+14,210,ANDREW BLERSCH,2/16/20,Repair roof leak,,,,,,,,,UNKNOWN
REP19-9486184,REPAIR,8/15/19,65 STERLING,BUFFALO,NY,14216,VLADIMIR SHKAVRITKO,LTC16-10034053,LIGHT COMMERCIAL CONTRACTOR,170,28670,0,7.874E+14,220,ANDREW BLERSCH,2/15/20,SIDING / TRIM / GUTTERS / DOWN SPOUTS THROUGHOUT AS PER CONTRACT FOR A&nbsp; 2 - FAMILY DWELLING.,"(42.9463932196738, -78.85303860352501)",42.94639322,-78.8530386,DELAWARE,District D,48,1,1005,UNKNOWN
REP19-9486162,REPAIR,8/15/19,20 STERLING,BUFFALO,NY,14216,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,80,10500,0,7.873E+14,220,ANDREW BLERSCH,2/15/20,"tear-off, re-roof, new plywood","(42.94513827644397, -78.8532069541963)",42.94513828,-78.85320695,DELAWARE,District D,48,1,1006,UNKNOWN
GC19-9475581,GC,8/15/19,66 DELANEY,BUFFALO,NY,14216,PAUL JOHNSON,GNC11-517985,LIGHT COMMERCIAL CONTRACTOR,614,110000,3,7.841E+14,210,ANDREW BLERSCH,2/15/20,ERECT 1-STORY ADDITION AND TAKE DOWN/BUILD ATTACHED GARAGE AT REAR OF 1-FAMILY DWELLING.&nbsp;,"(42.95774250528575, -78.85322428748334)",42.95774251,-78.85322429,DELAWARE,District D,51,1,1008,UNKNOWN
REP19-9486128,REPAIR,8/14/19,497 PARKER,BUFFALO,NY,14216,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,75,4500,0,7.852E+14,210,ANDREW BLERSCH,2/14/20,Tear off and replace rear porch roof,,,,,,,,,UNKNOWN
REP19-9486101,REPAIR,8/14/19,139 WELLINGTON,BUFFALO,NY,14216,AARON WHITE,LTC19-10050143,LIGHT COMMERCIAL CONTRACTOR,205,35822.25,0,7.866E+14,210,ANDREW BLERSCH,2/14/20,"BASEMENT CRAWL SPACE OPENING FRAMED IN. REMOVE RADIATORS THROUGHOUT. REPAIR/REPLACE DRYWALL/TRIM, INSTALL DOUBLE DOOR IN EXISTING OPENING,&nbsp;ERECT TWO PARTITION WALLS &nbsp;AT 1ST FLOOR &nbsp;REMOVE KITCHEN, REPAIR SUBFLOOR, CLOSE OFF EXISTING OPENINGS (LEAVING SINGLE ENTRANCE TO EACH ROOM)&nbsp;REPAIR/REPLACE DRYWALL&nbsp;AT 2ND FLOOR&nbsp;AND DRYWALL THROUGHOUT AT 3RD FLOOR.&nbsp;REPLACE 4x4 POSTS SUPPORTING&nbsp;BAY AT SIDE&nbsp;AT RIGHT SIDE OF HOUSE, REPAIR SIDING, AND&nbsp;REPAIR ROOF AT EXTERIOR BALCONY.&nbsp; SEE SCANNED CONTRACT AND ATTACHMENTS. *** SEPERATE PERMITS SHALL BE PULLED FOR ANY MECHANICAL, ELECTRICAL OR PLUMBING AS NEEDED PER PERMIT ***","(42.94830328460077, -78.85172867802295)",42.94830328,-78.85172868,DELAWARE,District D,48,1,1003,UNKNOWN
REP19-9486087,REPAIR,8/14/19,282 WELLINGTON,BUFFALO,NY,14216,BESROI CONSTRUCTION CORP. (HIM,HIC11-517059,HOME IMPROVEMENT CONTRACTOR,150,24285,0,7.858E+14,220,ANDREW BLERSCH,2/14/20,"Siding, trim, gutters","(42.95175759190441, -78.85190442057154)",42.95175759,-78.85190442,DELAWARE,District D,48,3,3006,UNKNOWN
REP19-9485966,REPAIR,8/13/19,130 WALLACE,BUFFALO,NY,14216,MICHAEL KELLY,LTC19-10052538,LIGHT COMMERCIAL CONTRACTOR,430,80060,0,7.874E+14,210,ANDREW BLERSCH,2/13/20,"KITCHEN AND BATHROOM RENOVATIONS WITH MINIMAL TEAR OUT - KITCHEN TO INCLUDE NEW CABINETS COUNTERTOPS FLOORING AND FIXTURES - BATHROOM TEAR OUT OF DRYWALL LESS&nbsp;THAN 160SQ FT NEW DRYWALL,FLOOR,SHOWER, SINK, AND TOILET. NEW HARDWOOD FLOORS THROUGHOUT OVER EXISTING. PER SCANNED CONTRACT",,,,,,,,,UNKNOWN
REP19-9485114,REPAIR,8/13/19,52 TIOGA,BUFFALO,NY,14216,TRINACRIA LLC,CMC17-10042939,LIGHT COMMERCIAL CONTRACTOR,155,20390.12,3,7.871E+14,210,ANDREW BLERSCH,2/13/20,REMOVE EXISTING GARAGE AND Rebuild New Garage AT REAR OF 1-FAMILY DWELLING. **PLANS FILED**,"(42.945598132828195, -78.86633207426497)",42.94559813,-78.86633207,DELAWARE,District D,49,5,5005,UNKNOWN
SIGN19-9485922,SIGN,8/12/19,1391 HERTEL,BUFFALO,NY,14216,ISKALO 1391 HERTEL LLC,,,100,8000,0,7.873E+14,620,ANDREW BLERSCH,2/12/20,"PLACE A LAWN SIGN (INDIVIDUAL LETTERS)&nbsp;IN FRONT THAT WILL READ ""BUFFALO""&nbsp;&nbsp;&nbsp;&nbsp; &nbsp; SEE PLAN ATTACHED TO THE APPLICATION","(42.94765154782573, -78.85670442033266)",42.94765155,-78.85670442,DELAWARE,District D,49,3,3000,UNKNOWN
SIGN19-9485572,SIGN,8/12/19,2643 DELAWARE,BUFFALO,NY,14216,MICHAEL YOST,SBU16-10034316,SIGN BUSINESS,125,10000,3,7.839E+14,485,ANDREW BLERSCH,2/12/20,*** PLANS FILED*** REPLACE EXISTING SIGNS WITH THREE INTERNALLY LIT LED CABINET SIGNS.,"(42.95583836402635, -78.86918456045822)",42.95583836,-78.86918456,DELAWARE,District D,51,2,2001,UNKNOWN
REP19-9485988,REPAIR,8/12/19,81 SANDERS,BUFFALO,NY,14216,M & A CONTRACTING LLC,LTC13-10025534,LIGHT COMMERCIAL CONTRACTOR,75,3200,0,7.839E+14,220,ANDREW BLERSCH,2/12/20,TEAR OFF AND REROOF A 2 STORY 2 FAMILY FRAME DWELLING AS PER SCANNED CONTRACT.,"(42.9568970075881, -78.86630455027831)",42.95689701,-78.86630455,DELAWARE,District D,51,2,2001,UNKNOWN
REP19-9485982,REPAIR,8/12/19,175 STERLING,BUFFALO,NY,14216,AUDREY PIZZUTO,,,75,1500,0,7.866E+14,210,ANDREW BLERSCH,2/12/20,REPAIR&nbsp; /&nbsp; REPLACE FINISHES IN THE FRONT FOYER OF A 2 STORY 1 FAMILY FRAME DWELLING. WORK BY OWNER AS PER SCANNED AFFIDAVIT. ELECTRICAL WORK BY OTHERS.,"(42.94950278909062, -78.85298693024593)",42.94950279,-78.85298693,DELAWARE,District D,48,1,1002,UNKNOWN
REP19-9485024,REPAIR,7/23/19,83 NORTH DR,BUFFALO,NY,14216,A BEST INC. (HIM),HIC11-517768,HOME IMPROVEMENT CONTRACTOR,75,8000,0,7.859E+14,210,ANDREW BLERSCH,1/23/20,"Mainframe roof, Tear-off and asphalt shingles","(42.95049022422381, -78.84500718633386)",42.95049022,-78.84500719,DELAWARE,District D,48,3,3012,UNKNOWN
REP19-9485019,REPAIR,7/23/19,91 NORTH DR,BUFFALO,NY,14216,A BEST INC. (HIM),HIC11-517768,HOME IMPROVEMENT CONTRACTOR,120,19000,0,7.859E+14,210,ANDREW BLERSCH,1/23/20,"Re: Mainframe roof   Tear-off, plywood as needed and asphalt shingles","(42.950582000649, -78.84528287591986)",42.950582,-78.84528288,DELAWARE,District D,48,3,3012,UNKNOWN
REP19-9484920,REPAIR,7/21/19,19 AVERY,BUFFALO,NY,14216,SHANE PROUTY,LTC19-10052317,LIGHT COMMERCIAL CONTRACTOR,75,4900,0,7.847E+14,220,ANDREW BLERSCH,1/21/20,Concrete steps on front of house are falling apart. Fixing by building small deck over concrete steps,"(42.95383675856697, -78.86528769419574)",42.95383676,-78.86528769,DELAWARE,District D,51,2,2004,UNKNOWN
REP19-9484914,REPAIR,7/19/19,333 LINDEN AVE,BUFFALO,NY,14216,STOCKMOHR COMPANY INC.,HIC11-517773,HOME IMPROVEMENT CONTRACTOR,75,5000,0,7.873E+14,210,ANDREW BLERSCH,1/19/20,Rear Barn/Garage Roof:  Remove existing roofing.  Install new Certainteed XT 25 Gray frost shingles with synthetic felt.  Clean up and haul away job related debris.,"(42.944582002260184, -78.85542892400869)",42.944582,-78.85542892,DELAWARE,District D,48,1,1007,UNKNOWN
REP19-9484861,REPAIR,7/19/19,35 BENWOOD,BUFFALO,NY,14214,JAMES   JOHNSON,LTC11-555768,LIGHT COMMERCIAL CONTRACTOR,75,6000,0,9.021E+14,210,ANDREW BLERSCH,1/19/20,"Remove existing layers of roofing down to decking. Install all new: felt underlayment, drip edging, 6 ft.ice and water shield gutter lines,GAF-HD shingles w 6 nails each. Clean respite gutters. Remove all debris with our dump trailer . Same day. One day job.","(42.94191659083922, -78.83473452113631)",42.94191659,-78.83473452,MASTEN,District E,45,2,2007,UNKNOWN
REP19-9484670,REPAIR,7/16/19,2269 DELAWARE,BUFFALO,NY,14216,MICHAEL ATTEA,LTC19-10051974,LIGHT COMMERCIAL CONTRACTOR,85,12000,0,7.871E+14,220,ANDREW BLERSCH,1/16/20,TEAROFF AND INSTALL METAL ROOF PER MANUFACTURER'S INSTALLIATION INSTRUCTIONS.&nbsp; CONTRACTOR TO KEEP INSTALLIATION INSTRUCTIONS ON JOB SITE.,"(42.945910713736126, -78.86820232266541)",42.94591071,-78.86820232,DELAWARE,District D,49,5,5004,UNKNOWN
REP19-9484660,REPAIR,7/16/19,36 NORTH DR,BUFFALO,NY,14216,BLACK ROCK ROOFING,LTC11-564078,LIGHT COMMERCIAL CONTRACTOR,85,11700,0,7.868E+14,210,ANDREW BLERSCH,1/16/20,complete tear off & roof replacement,"(42.95020896697495, -78.84281165482061)",42.95020897,-78.84281165,DELAWARE,District D,45,6,6008,UNKNOWN
REP19-9484580,REPAIR,7/15/19,190 COMMONWEALTH,BUFFALO,NY,14216,KIERAN MCGRATH,LTC18-10044276,LIGHT COMMERCIAL CONTRACTOR,75,6000,0,7.856E+14,220,ANDREW BLERSCH,1/15/20,BUILD NEW DECK FREESTANDING AROUND EXISTING DECK *** SEE SCANNED DECK***,"(42.950337630293205, -78.86186105758254)",42.95033763,-78.86186106,DELAWARE,District D,49,2,2006,UNKNOWN
REP19-9484567,REPAIR,7/15/19,946 PARKSIDE,BUFFALO,NY,14216,ERNEST MARTIN,LTC11-517986,LIGHT COMMERCIAL CONTRACTOR,75,5000,0,7.852E+14,210,ANDREW BLERSCH,1/15/20,At family room and Florida room porch: Roof tear off and replacement.,"(42.95253123578429, -78.84315296961249)",42.95253124,-78.84315297,DELAWARE,District D,45,3,3006,UNKNOWN
REP19-9484536,REPAIR,7/15/19,1 TRAYMORE,BUFFALO,NY,14216,"ELITE CONSTRUCTION CONCEPTS, LLC",,,175,5800,0,7.872E+14,220,ANDREW BLERSCH,1/15/20,"Roof Tear off: Remove existing roofing materials and install sheeting and 72"" Ice Shield along all low sloped Eaves. Install new synthetic roof wrap; F-5 Drip Edge and 30-Year Architectural shingles with Ridge vent. Includes full clean up and debris removal. All materials provided by homeowner.","(42.94469098588238, -78.86298010483098)",42.94469099,-78.8629801,DELAWARE,District D,49,4,4002,UNKNOWN
REP19-9484539,REPAIR,7/14/19,273 ST LAWRENCE,BUFFALO,NY,14216,FRANK J ZAMBITO,,,75,3000,0,7.84E+14,210,ANDREW BLERSCH,1/14/20,Roof,"(42.95612333831459, -78.85925203822215)",42.95612334,-78.85925204,DELAWARE,District D,51,2,2000,UNKNOWN
REP19-9484505,REPAIR,7/12/19,44 COVINGTON,BUFFALO,NY,14216,FRANK JULI M,,,75,1000,0,7.86E+14,210,ANDREW BLERSCH,1/12/20,TEAR OFF EXISTING GARAGE ROOF AND REPLACE TO CODE - INSTALL NEW VINYL SOFFIT,"(42.95150626504598, -78.8426815839059)",42.95150627,-78.84268158,DELAWARE,District D,45,3,3007,UNKNOWN
REP19-9484497,REPAIR,7/12/19,1809 HERTEL,BUFFALO,NY,14216,HOME IMPROVEMENT CENTER,HIC11-517471,HOME IMPROVEMENT CONTRACTOR,105,16000,0,7.876E+14,210,ANDREW BLERSCH,1/12/20,New roof to home with tear off.,"(42.94748602348024, -78.84056226146018)",42.94748602,-78.84056226,DELAWARE,District D,45,5,5002,UNKNOWN
REP19-9484465,REPAIR,7/11/19,320 VILLA,BUFFALO,NY,14216,AMANDA REIMONDO,,,75,2000,0,7.841E+14,210,ANDREW BLERSCH,1/11/20,Replacing main roof on house,"(42.95792032601083, -78.85797092141961)",42.95792033,-78.85797092,DELAWARE,District D,51,1,1009,UNKNOWN
REP19-9484424,REPAIR,7/11/19,1 STRATFORD,BUFFALO,NY,14216,DOLORES FUNKE,,,75,2500,0,7.855E+14,220,ANDREW BLERSCH,1/11/20,COMPLETE BATHROOM GUT REHAB WITH ALL NEW FINISHES MEP PERMITS SEPERATE - &nbsp;NEG ASBESTOS&nbsp;SURVEY SCANNED,"(42.95238408353032, -78.86452022730177)",42.95238408,-78.86452023,DELAWARE,District D,51,4,4001,UNKNOWN
REP19-9482984,REPAIR,7/11/19,62 STERLING,BUFFALO,NY,14216,SCOTT BAUMLER,,,100,480,3,7.873E+14,220,ANDREW BLERSCH,1/11/20,*** PLANS *** REMOVE LOAD BEARING WALLS AND REPLACE WITH LVL'S TO MAKE OPEN FLOOR PLAN,"(42.9464197672132, -78.85318761085875)",42.94641977,-78.85318761,DELAWARE,District D,48,1,1006,UNKNOWN
REP19-9484357,REPAIR,7/10/19,28 HUNTINGTON,BUFFALO,NY,14214,"KOLT ACCESS & LIFT, INC",,,95,13300,0,7.969E+14,210,ANDREW BLERSCH,1/10/20,INSTALL NEW CONCRETE PAD AND DECK FOR ADA WHEELCHAIR LIFT - SEE SCANNED,"(42.94554419496641, -78.83365372624814)",42.94554419,-78.83365373,DELAWARE,District D,45,1,1015,UNKNOWN
REP19-9484282,REPAIR,7/9/19,62 STERLING,BUFFALO,NY,14216,JAMES HOTTUM,SPC11-545093,SPECIALITY CONTRACTOR,100,14524,0,7.873E+14,220,ANDREW BLERSCH,1/9/20,complete interior insulation to code - contract scanned,"(42.9464197672132, -78.85318761085875)",42.94641977,-78.85318761,DELAWARE,District D,48,1,1006,UNKNOWN
REP19-9484276,REPAIR,7/9/19,375 ST LAWRENCE,BUFFALO,NY,14216,WILLIAM LAPORTA,LTC14-10029956,LIGHT COMMERCIAL CONTRACTOR,75,1475,0,7.841E+14,220,ANDREW BLERSCH,1/9/20,"REMOVE TILE AND THICK SET MORTAR, SISTER FLOOR JOISTS, NEW SUBFLOOR AND VINYL FLOORING AT 7' x 4' ENTRY AT 2-FAMILY DWELLING.","(42.95610928244737, -78.85563711320286)",42.95610928,-78.85563711,DELAWARE,District D,51,1,1012,UNKNOWN
229367,PLAN-COPY,10/22/15,1200 HERTEL,BUFFALO,NY,14216,NEFCO FIRE INVESTIGATIONS,,,1.5,0,0,7.864E+14,482,,,,"(42.947803286097, -78.863421567157)",42.94780329,-78.86342157,DELAWARE,District D,49,5,5001,UNKNOWN
230574,PLAN-COPY,11/24/15,65 NIAGARA FALLS BLVD,BUFFALO,NY,14214,LOTEMPIO LAW GROUP,,,95,0,0,7.939E+14,210,,,plan copies,"(42.956075020603, -78.823226997086)",42.95607502,-78.823227,UNIVERSITY,District E,46.01,3,3003,UNKNOWN
213360,PLAN-COPY,8/22/14,101 HIGHGATE,BUFFALO,NY,14214,ABSTRACTERS' INFORMATION SERVICES,,,0.25,0,0,7.963E+14,210,,,FOIL REQUEST FEE,"(42.948755633665, -78.823906584434)",42.94875563,-78.82390658,UNIVERSITY,District E,47,5,5006,UNKNOWN
216643,PLAN-COPY,11/7/14,626 FILLMORE,BUFFALO,NY,14212,MARIN   UDDIN,,,0.25,0,0,1.1144E+15,411,,,FOIL REQUEST FFE,"(42.890457224725, -78.839329243436)",42.89045722,-78.83932924,FILLMORE,District C,16,1,1000,UNKNOWN
216614,PLAN-COPY,11/7/14,65 NIAGARA SQ,BUFFALO,NY,14202,SEAN   REDDEN,,,0.75,0,0,1.1153E+15,652,,,FOIL REQUEST FEE,"(42.886665828081, -78.878801677953)",42.88666583,-78.87880168,ELLICOTT,District B,165,1,1054,UNKNOWN
208427,PLAN-COPY,4/25/14,56 TILLINGHAST,BUFFALO,NY,14216,MATTHEW C LAUFER,,,2,0,0,7.881E+14,210,,,FOIL REQUEST FEE,"(42.942368149196, -78.85456837762)",42.94236815,-78.85456838,DELAWARE,District D,54,4,4005,UNKNOWN
USE18-9461957,USE,9/24/18,25 MENDOLA,BUFFALO,NY,14215,CHRISTOPHER   JACKSON,,,50,500,0,9.046E+14,220,TRENT MUGGLETON,3/24/19,Reduce a 2 fam. dwlg. to a 1 fam. dwlg.,"(42.931630746346, -78.827599309681)",42.93163075,-78.82759931,MASTEN,District E,39.01,1,1013,UNKNOWN
SIGN18-9459288,SIGN,8/27/18,2626 MAIN,BUFFALO,NY,14214,FASTSIGNS,,,125,3000,3,8.928E+14,482,TRENT MUGGLETON,2/27/19,*** PLANS FILED *** PLACE 2 EXTERNALLY ILLUMINATED WALL SIGNS ON THE FRONT AND SIDE FACADES.,"(42.939384986594, -78.839022951931)",42.93938499,-78.83902295,MASTEN,District D,40.01,5,5001,UNKNOWN
GC18-9454785,GC,8/31/18,41 KERNS,BUFFALO,NY,14211,BUFFALO INC HABITAT FOR HUMANITY,,,,30000,3,1.0133E+15,210,TRENT MUGGLETON,2/28/19,*** plans filed *** complete tear out and renovation of a single family dwelling - asbestos survey attached,"(42.916965137298, -78.812149341122)",42.91696514,-78.81214934,LOVEJOY,District E,37,4,4008,UNKNOWN
